Titulo	Comprados	Total	Pendiente(No consecutivos)	Completa	Prioridad	Formato	Editorial	Column 1	Column 2	Column 3	Column 4	Column 5	Column 6	Column 7	Column 8	Column 9	Column 10	Column 11	Column 12	Column 13	Column 14	Column 15	Column 16
Boy Meets Maria	1	1		TRUE	FALSE	Unknown	Unknown																
Slam Dunk	3	20		FALSE	FALSE	Unknown	Unknown																
20th Century	1	11		FALSE	FALSE	Unknown	Unknown																
Baki The Grappler	6	24		FALSE	FALSE	A5	ivrea																
Sweet Paprika	1	1		TRUE	FALSE	Unknown	Unknown																
Zetman	20	20		TRUE	FALSE	Tankoubon	ivrea																
Vagabond	11	37	11-29,31-37	FALSE	FALSE	Unknown	Unknown																
To Love Ru	1	10		FALSE	FALSE	Unknown	Unknown																
Is	1	12		FALSE	FALSE	Unknown	Unknown																
Initial D	1	??		FALSE	FALSE	Unknown	Unknown																
The Fable	1	??		FALSE	FALSE	Unknown	Unknown																
1F Fukushima	3	3		TRUE	FALSE	Unknown	Unknown																
Planetes	4	4		TRUE	TRUE	Unknown	Unknown																
Tsugai	1	??		FALSE	FALSE	Unknown	Unknown																
Nausicaä of the Valley of the Wind	2	2		TRUE	FALSE	Unknown	Unknown																
Chobits	8	8		TRUE	FALSE	Unknown	Unknown																
Tokko	1	1		TRUE	FALSE	Unknown	Unknown																
Orbe	8	8		TRUE	TRUE	Unknown	Unknown																
Fools Night	2	??		FALSE	FALSE	Unknown	Unknown																
Tenjho Tenge	17	22	8-9,17-19	FALSE	FALSE	Unknown	Unknown																
Blood Rain	8	9	8	FALSE	FALSE	Unknown	Unknown																
Berserk	1	??		FALSE	FALSE	Unknown	Unknown																
Undead Unluck	2	27		FALSE	TRUE	Unknown	Unknown																
Bocchi the Rock	2	??		FALSE	FALSE	Unknown	Unknown																
Oyasumi punpun	13	13		TRUE	FALSE	Tankoubon	ivrea																
Takopi	2	2		TRUE	FALSE	Tankoubon	ivrea																
home far away	1	1		TRUE	FALSE																		
Demasiado Cerca Para Enamorarse	1	1		TRUE	FALSE																		
The Bus takes you and runs	1	1		TRUE	FALSE																		
After School Edge	1	1		TRUE	FALSE																		
Katsura Akira Short Stories	1	1		TRUE	FALSE																		
Sandland	1	1		TRUE	FALSE	Tankoubon	ivrea																
Himiko Den	1	1		TRUE	FALSE	Tankoubon	ivrea																
